"","Median","Mean","Q1","Q3","Stdev","CoD","CoV","Dose","Strain","ON","PMT","Time","Y"
"63",4190.5,4439.44070512821,3076,5449.75,1903.68675321009,0.566459849659945,0.428812294082687,300,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"64",4186,4422.89485279391,3060,5440,1871.29460876154,0.568561872909699,0.423092718919025,700,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"65",4024.5,4268.12209767814,2924.75,5309.5,1872.61191497015,0.592558081749286,0.438743754774225,1000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"66",3689,3889.72037630104,2715.75,4796,1647.43123065361,0.563906207644348,0.423534617215916,1500,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"67",3771,3970.9996,2766.75,4909,1680.90948053016,0.568085388491116,0.423296310714855,2000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"68",3666.5,3849.3381352541,2663.25,4780,1630.37661245779,0.577321696440747,0.423547258040549,3000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"69",4184.5,4457.88475390156,3055.25,5432.75,2286.01986597235,0.568168239933086,0.512803715702074,5000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"70",4212.5,4466.08146517214,3083.25,5511.25,1898.57520825226,0.576379821958457,0.42510984697837,10000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"71",4045,4235.51643286573,2913,5311.25,1800.67397240346,0.592892459826947,0.425136816476742,40000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"72",2852,3135.87647647648,1934,4171,1605.19409588366,0.784361851332398,0.511880524607678,2e+05,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI(W220F, Q60G, T167A) (no lac12)",0,"normal",20,3692
"73",2656,2724.27918679549,1939.75,3349,1314.35151405937,0.530591114457831,0.482458450084703,0,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"74",2342,2436.63680387409,1572.5,3064,1592.25622175923,0.636848847139197,0.65346473435337,100,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"75",2333,2434.6078590237,1533,3053,1419.92490947387,0.651521645949421,0.58322530431791,300,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"76",2353,2456.80068728522,1548,3040.5,3169.46075276208,0.634296642583935,1.29007646780836,700,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"77",2348,2417.377606803,1532.5,3060,1155.03113358695,0.650553662691652,0.477803356139501,1000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"78",2340,2541.47271624899,1516,3080,4195.6351486575,0.668376068376068,1.65086767283889,1500,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"79",2300,2403.93547734628,1499.25,3041,1811.3415048023,0.670326086956522,0.753490067379786,2000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"80",2268.5,2402.95976546704,1469.5,3012,1804.78938061785,0.679964734405995,0.75106932981338,3000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"81",2289,2411.68945351885,1492.5,3053,2276.19514071798,0.68173875054609,0.943817678265677,5000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"82",2400,2474.59983749746,1633.5,3124,1187.48263980808,0.621041666666667,0.479868551599425,10000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"83",2372,2448.68621523579,1572.25,3127,1390.63788252219,0.655459527824621,0.567911835281143,40000,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"84",2296.5,2421.87983485441,1524,3097,1601.02714779014,0.684955366862617,0.661067954218456,2e+05,"P7tet.1_mApple+ 2x(P3Lacn.5_tetR-tup1-tail) + PAct1_citrine-pt7-LacI + Ptdh3_lexA-hER-SAFV_lac12",0,"normal",20,3708
"85",50165,54926.0087121971,36048,67264,27011.9796652815,0.622266520482408,0.491788504182411,0,"P4Lacn.2_cit",0,"normal",20,3542
"86",77493,83258.0514875288,53960.5,105593.5,40712.2813284627,0.6662924393171,0.488989119983922,0,"P7tet.1_cit",0,"normal",20,2728
"87",102484.5,108332.405717151,76361.25,133321,45489.609285126,0.555788924178778,0.419907681214947,0,"Ptdh3_cit",0,"normal",20,3668
"88",412,517.20286372284,301,553,3369.19359348173,0.611650485436893,6.51425935508203,0,"autofluorescence",0,"normal",20,70
