SimFluoValues,Dose,Repression_Coefficient,Draw,dose
0.521522485789633,0,LacIrep1,30,1
58.2118043103328,0,LacIrep1,30,100000
58.2118043103328,0,LacIrep1,30,300000
58.2118043103328,0,LacIrep1,30,700000
58.2118043103328,0,LacIrep1,30,1000000
58.2118043103328,0,LacIrep1,30,1500000
58.2118043103328,0,LacIrep1,30,2000000
58.2118043103328,0,LacIrep1,30,3000000
58.2118043103328,0,LacIrep1,30,5000000
58.2118043103328,0,LacIrep1,30,10000000
58.2118043103328,0,LacIrep1,30,40000000
58.2118043103328,0,LacIrep1,30,200000000
1.21192558492231,0,LacIrep1,31,1
52.2750762518917,0,LacIrep1,31,100000
52.6857482377348,0,LacIrep1,31,300000
52.8048876241418,0,LacIrep1,31,700000
52.8329222714478,0,LacIrep1,31,1000000
52.8553373162545,0,LacIrep1,31,1500000
52.866844339859,0,LacIrep1,31,2000000
52.8786515319847,0,LacIrep1,31,3000000
52.888426724361,0,LacIrep1,31,5000000
52.8960978571594,0,LacIrep1,31,10000000
52.9022802363532,0,LacIrep1,31,40000000
52.9041256169132,0,LacIrep1,31,200000000
0.520637155041025,0,LacIrep1,32,1
45.0536070678436,0,LacIrep1,32,100000
45.11736222229,0,LacIrep1,32,300000
45.1173737237991,0,LacIrep1,32,700000
45.1175787983282,0,LacIrep1,32,1000000
45.1175787997099,0,LacIrep1,32,1500000
45.1175788004675,0,LacIrep1,32,2000000
45.117578800476,0,LacIrep1,32,3000000
45.1175788004763,0,LacIrep1,32,5000000
45.1175788004763,0,LacIrep1,32,10000000
45.1175788004763,0,LacIrep1,32,40000000
45.1175788004763,0,LacIrep1,32,200000000
0.524652406116905,0,LacIrep1,33,1
62.8736988224959,0,LacIrep1,33,100000
62.8736988252696,0,LacIrep1,33,300000
62.8736988252693,0,LacIrep1,33,700000
62.8736988252693,0,LacIrep1,33,1000000
62.8736988252693,0,LacIrep1,33,1500000
62.8736988252693,0,LacIrep1,33,2000000
62.8736988252693,0,LacIrep1,33,3000000
62.8736988252693,0,LacIrep1,33,5000000
62.8736988252693,0,LacIrep1,33,10000000
62.8736988252693,0,LacIrep1,33,40000000
62.8736988252693,0,LacIrep1,33,200000000
0.525137176307068,0,LacIrep1,34,1
62.6343135432669,0,LacIrep1,34,100000
62.6343136311867,0,LacIrep1,34,300000
62.634313632168,0,LacIrep1,34,700000
62.63431363218,0,LacIrep1,34,1000000
62.6343136321872,0,LacIrep1,34,1500000
62.6343136321887,0,LacIrep1,34,2000000
62.6343136321888,0,LacIrep1,34,3000000
62.6343136321891,0,LacIrep1,34,5000000
62.634313632189,0,LacIrep1,34,10000000
62.634313632189,0,LacIrep1,34,40000000
62.634313632189,0,LacIrep1,34,200000000
0.522169191324052,0,LacIrep1,35,1
54.1222008040261,0,LacIrep1,35,100000
54.1223491772604,0,LacIrep1,35,300000
54.1223510295497,0,LacIrep1,35,700000
54.1223510824359,0,LacIrep1,35,1000000
54.1223510964272,0,LacIrep1,35,1500000
54.1223510988905,0,LacIrep1,35,2000000
54.1223510998435,0,LacIrep1,35,3000000
54.1223511000592,0,LacIrep1,35,5000000
54.1223511000917,0,LacIrep1,35,10000000
54.1223511000938,0,LacIrep1,35,40000000
54.1223511000942,0,LacIrep1,35,200000000
0.530483539678138,0,LacIrep1,36,1
47.2037346778158,0,LacIrep1,36,100000
47.2037346792244,0,LacIrep1,36,300000
47.2037346792314,0,LacIrep1,36,700000
47.2037346792315,0,LacIrep1,36,1000000
47.2037346792315,0,LacIrep1,36,1500000
47.2037346792315,0,LacIrep1,36,2000000
47.2037346792315,0,LacIrep1,36,3000000
47.2037346792315,0,LacIrep1,36,5000000
47.2037346792315,0,LacIrep1,36,10000000
47.2037346792315,0,LacIrep1,36,40000000
47.2037346792315,0,LacIrep1,36,200000000
0.561854185186349,0,LacIrep1,37,1
52.7783787789356,0,LacIrep1,37,100000
52.7783789166148,0,LacIrep1,37,300000
52.7783789168077,0,LacIrep1,37,700000
52.778378916809,0,LacIrep1,37,1000000
52.7783789168092,0,LacIrep1,37,1500000
52.7783789168092,0,LacIrep1,37,2000000
52.7783789168092,0,LacIrep1,37,3000000
52.7783789168092,0,LacIrep1,37,5000000
52.7783789168092,0,LacIrep1,37,10000000
52.7783789168092,0,LacIrep1,37,40000000
52.7783789168092,0,LacIrep1,37,200000000
1.61785476237037,0,LacIrep1,38,1
55.6714216574871,0,LacIrep1,38,100000
55.8793537775096,0,LacIrep1,38,300000
55.9438203375434,0,LacIrep1,38,700000
55.9593764853595,0,LacIrep1,38,1000000
55.97202046819,0,LacIrep1,38,1500000
55.9786149419043,0,LacIrep1,38,2000000
55.985488899072,0,LacIrep1,38,3000000
55.991303126315,0,LacIrep1,38,5000000
55.9959945100903,0,LacIrep1,38,10000000
55.9999531590371,0,LacIrep1,38,40000000
56.0012188701449,0,LacIrep1,38,200000000
0.520858251460015,0,LacIrep1,39,1
57.0236295763019,0,LacIrep1,39,100000
57.0527028378269,0,LacIrep1,39,300000
57.0534886133923,0,LacIrep1,39,700000
57.0535282386117,0,LacIrep1,39,1000000
57.053542187761,0,LacIrep1,39,1500000
57.05354545441,0,LacIrep1,39,2000000
57.0535470818833,0,LacIrep1,39,3000000
57.0535475964926,0,LacIrep1,39,5000000
57.0537522694299,0,LacIrep1,39,10000000
57.0535477307329,0,LacIrep1,39,40000000
57.0535477322977,0,LacIrep1,39,200000000
0.520750515628766,0,LacIrep1,40,1
38.8005453759012,0,LacIrep1,40,100000
51.7351508542064,0,LacIrep1,40,300000
